,u,v,key,osmid,bearing,length,oneway,indexway,from,to,geometry
168,85703496,85703497,0,153225686,87.2,34.059,FALSE,5282,85703496,85703497,"LINESTRING (100.5896899 13.7127938, 100.5900048 13.7128089)"
169,85703497,85703498,0,153225686,78.8,37.032,FALSE,5283,85703497,85703498,"LINESTRING (100.5900048 13.7128089, 100.5903411 13.7128735)"
170,85703498,4453287975,0,153225686,65.7,105.385,FALSE,5284,85703498,4453287975,"LINESTRING (100.5903411 13.7128735, 100.59123 13.713264)"
171,4453287975,1686126945,0,153225686,68.4,51.595,FALSE,5285,4453287975,1686126945,"LINESTRING (100.59123 13.713264, 100.591674 13.713435)"
172,1686126945,85703499,0,153225686,60.5,13.129,FALSE,5286,1686126945,85703499,"LINESTRING (100.591674 13.713435, 100.5917798 13.7134931)"
173,85703499,4965416688,0,153225686,48.7,3.064,FALSE,5288,85703499,4965416688,"LINESTRING (100.5917798 13.7134931, 100.5918011 13.7135113)"
174,4965416688,85703500,0,153225686,48.7,18.448,FALSE,5289,4965416688,85703500,"LINESTRING (100.5918011 13.7135113, 100.5919293 13.7136209)"
175,85703500,4965416696,0,153225686,37.3,84.6,FALSE,5290,85703500,4965416696,"LINESTRING (100.5919293 13.7136209, 100.5924035 13.7142264)"
176,4965267259,4964511273,0,482404745,125.7,28.636,FALSE,31722,4965267259,4964511273,"LINESTRING (100.5928117 13.7141573, 100.5930271 13.7140072)"
177,3576517459,272491960,0,482384850,292.8,155.841,FALSE,44250,3576517459,272491960,"LINESTRING (100.5628145 13.7155689, 100.5614847 13.7161123)"
178,3576517459,4752126535,0,482384850,292.5,240.156,FALSE,5369,4752126535,3576517459,"LINESTRING (100.5648678 13.7147409, 100.5628145 13.7155689)"
179,272491959,4752126535,0,482384850,295.8,29.607,FALSE,5358,272491959,4752126535,"LINESTRING (100.5651145 13.7146249, 100.5648678 13.7147409)"
180,272491955,4752126530,0,482384842,20.5,23.617,FALSE,5363,272491955,4752126530,"LINESTRING (100.5651813 13.7147555, 100.5652577 13.7149545)"
181,272491955,4752126525,0,185563494,111.5,24.991,FALSE,27011,4752126525,272491955,"LINESTRING (100.5649661 13.714838, 100.5651813 13.7147555)"
182,272491956,4752126536,0,321845932,201.8,20.448,FALSE,40775,4752126536,272491956,"LINESTRING (100.56538 13.7148747, 100.5653096 13.714704)"
183,4752126530,277946826,0,482384842,23.9,214.036,FALSE,27005,4752126530,277946826,"LINESTRING (100.5652577 13.7149545, 100.5660614 13.7167139)"
184,270329332,304300664,0,156261350,311.6,100.54,FALSE,8704,270329332,304300664,"LINESTRING (100.5661942 13.7221722, 100.565498 13.7227723)"
